Product Name,Type of Change,Entity,Element,Description,Example Value,Mandatory,SAR Impact,Impact
Prisoner Property,NEW PRODUCT,active_agency,agency_id,Primary key. Agency (prison) code.,LEI,Y,N,NO CHANGE
Prisoner Property,NEW PRODUCT,active_agency,active,Whether the prison is currently switched on. False means it was switched on at some point and has since been switched off.,true,Y,N,NO CHANGE
Prisoner Property,NEW PRODUCT,active_agency,updated_at,When the prison was last switched on or off.,2026-09-15T14:32:00,Y,N,NO CHANGE
Prisoner Property,NEW PRODUCT,active_agency,updated_by,DPS username of the member of staff who last changed the switch. Identifies a member of staff.,AUSER_GEN,Y,N,NO CHANGE
Prisoner Property,NEW PRODUCT,legacy_cleanup_item,id,Primary key. Time-ordered UUID v7.,77777777-7777-7777-7777-777777777777,Y,N,NO CHANGE
Prisoner Property,NEW PRODUCT,legacy_cleanup_item,legacy_cleanup_job_id,The job this item belongs to.,66666666-6666-6666-6666-666666666666,Y,N,NO CHANGE
Prisoner Property,NEW PRODUCT,legacy_cleanup_item,property_container_id,The container to close.,11111111-1111-1111-1111-111111111111,Y,N,NO CHANGE
Prisoner Property,NEW PRODUCT,legacy_cleanup_item,prisoner_number,"The prisoner number the container belonged to when the job was requested, so the item can be re-checked against prisoner-search without loading the container. Identifies a prisoner.",A1234AA,Y,N,NO CHANGE
Prisoner Property,NEW PRODUCT,legacy_cleanup_item,action,RETURN (the person was released: mark returned) or TRANSFER (the person is at another prison: mark transferred there).,TRANSFER,Y,N,NO CHANGE
Prisoner Property,NEW PRODUCT,legacy_cleanup_item,planned_event_date,"The date the closing event will be dated to: the release date, or the date the person left this prison. Taken from prisoner-search when the job was requested.",2026-03-14,Y,N,NO CHANGE
Prisoner Property,NEW PRODUCT,legacy_cleanup_item,planned_to_prison_id,"For TRANSFER, the prison the person is now at, which becomes the destination on the TRANSFERRED event. Null for RETURN. Locates a prisoner.",MDI,N,N,NO CHANGE
Prisoner Property,NEW PRODUCT,legacy_cleanup_item,status,"PENDING, PROCESSED (the container was closed), SKIPPED (already removed, or no longer qualified on re-check) or FAILED (an error; the container is unchanged).",PROCESSED,Y,N,NO CHANGE
Prisoner Property,NEW PRODUCT,legacy_cleanup_item,message,"Why the item was skipped or failed, or a note that the domain event could not be published after the change was committed. Null when processed cleanly.",Skipped - the container had already been removed,N,N,NO CHANGE
Prisoner Property,NEW PRODUCT,legacy_cleanup_item,processed_at,When the item reached its final status. Null while PENDING.,2026-09-15T09:11:48,N,N,NO CHANGE
Prisoner Property,NEW PRODUCT,legacy_cleanup_job,id,Primary key. Time-ordered UUID v7.,66666666-6666-6666-6666-666666666666,Y,N,NO CHANGE
Prisoner Property,NEW PRODUCT,legacy_cleanup_job,prison_id,The prison whose held property is being cleaned up.,LEI,Y,N,NO CHANGE
Prisoner Property,NEW PRODUCT,legacy_cleanup_job,status,"PENDING (requested, not yet claimed by a listener), STARTED (being processed) or FINISHED. A partial unique index allows one PENDING or STARTED job per prison.",FINISHED,Y,N,NO CHANGE
Prisoner Property,NEW PRODUCT,legacy_cleanup_job,older_than_days,The look-back window the admin chose: only people who left at least this many days before the request are in scope.,90,Y,N,NO CHANGE
Prisoner Property,NEW PRODUCT,legacy_cleanup_job,cutoff_date,The request date minus older_than_days; a person must have left on or before this date to be in scope. Stored so the rule the job applied is reproducible.,2026-06-17,Y,N,NO CHANGE
Prisoner Property,NEW PRODUCT,legacy_cleanup_job,requested_by,"DPS username of the admin who requested the run. The property events the run writes are attributed to the LEGACY_CLEANUP system user, so this is the only record of who asked for them.",AUSER_GEN,Y,N,NO CHANGE
Prisoner Property,NEW PRODUCT,legacy_cleanup_job,requested_at,When the run was requested.,2026-09-15T09:05:00,Y,N,NO CHANGE
Prisoner Property,NEW PRODUCT,legacy_cleanup_job,start_time,When a listener first claimed the job and began processing. Null while PENDING.,2026-09-15T09:05:12,N,N,NO CHANGE
Prisoner Property,NEW PRODUCT,legacy_cleanup_job,last_activity_at,When the job last made progress. A STARTED job with no activity for 30 minutes is treated as abandoned (its pod died) and may be re-claimed by a redelivered message; only unprocessed items are then resumed.,2026-09-15T09:11:48,N,N,NO CHANGE
Prisoner Property,NEW PRODUCT,legacy_cleanup_job,end_time,When processing finished. Null until FINISHED.,2026-09-15T09:12:03,N,N,NO CHANGE
Prisoner Property,NEW PRODUCT,legacy_cleanup_job,total_records,How many containers were snapshotted as items when the job was requested.,412,Y,N,NO CHANGE
Prisoner Property,NEW PRODUCT,legacy_cleanup_job,returned_records,How many items have been marked RETURNED so far.,118,Y,N,NO CHANGE
Prisoner Property,NEW PRODUCT,legacy_cleanup_job,transferred_records,How many items have been marked TRANSFERRED so far.,286,Y,N,NO CHANGE
Prisoner Property,NEW PRODUCT,legacy_cleanup_job,skipped_records,"How many items were skipped: the container had already been removed by staff, or the person no longer qualified when re-checked against prisoner-search at processing time.",6,Y,N,NO CHANGE
Prisoner Property,NEW PRODUCT,legacy_cleanup_job,failed_records,How many items failed with an error; the container was left unchanged and the message on the item says why.,2,Y,N,NO CHANGE
Prisoner Property,NEW PRODUCT,property_container,id,"Primary key. Time-ordered UUID v7, so insert order matches id order.",11111111-1111-1111-1111-111111111111,Y,N,NO CHANGE
Prisoner Property,NEW PRODUCT,property_container,prisoner_number,NOMIS offender number (noms id) of the prisoner whose property this is. The link that makes every row here personal data about that prisoner. Reassigned when NOMIS merges two prisoner numbers for the same person: the containers move to the surviving number and the retired one survives only as removedNomsNumber on the resulting domain event.,A1234AA,Y,Y,NO CHANGE
Prisoner Property,NEW PRODUCT,property_container,prison_id,"Agency (prison) code holding the container. Read with prisoner_number it indicates where that prisoner's property is, and normally where the prisoner is. Not reassigned on a transfer out - the receiving prison creates its own record.",LEI,Y,Y,NO CHANGE
Prisoner Property,NEW PRODUCT,property_container,container_type,"What kind of property the container holds. One of STANDARD, EXCESS, VALUABLES, CONFISCATED.",STANDARD,Y,Y,NO CHANGE
Prisoner Property,NEW PRODUCT,property_container,create_datetime,"When the container record was created in this service. For containers migrated from NOMIS this is the migration run, not the original prison event.",2026-01-10T09:15:00,Y,Y,NO CHANGE
Prisoner Property,NEW PRODUCT,property_container,created_by_user_id,DPS username of the member of staff who created the container. Identifies a member of staff.,AUSER_GEN,Y,Y,NO CHANGE
Prisoner Property,NEW PRODUCT,property_container,proposed_disposal_date,"Date the container is proposed for disposal. Disposal status is derived by comparing this with today rather than being stored, so a container becomes DISPOSAL_REQUIRED without anything writing to it.",2026-11-01,N,Y,NO CHANGE
Prisoner Property,NEW PRODUCT,property_container,current_seal_number,Seal number currently on the container. Stored rather than derived because uniqueness across containers in storage is checked in SQL. Freed for re-use once the container leaves active storage.,SEAL12345,N,Y,NO CHANGE
Prisoner Property,NEW PRODUCT,property_container,removal_outcome,"Why the container left active storage: DISPOSED, RETURNED, TRANSFERRED, COMBINED, CREATED_IN_ERROR or REMOVED. Null while the container is in active storage. All are terminal except REMOVED, which a REACTIVATED event reverses - which is why there is no archived flag.",TRANSFERRED,N,Y,NO CHANGE
Prisoner Property,NEW PRODUCT,property_container,removal_date,Date the container left active storage. Null while it is still held.,2026-07-18,N,Y,NO CHANGE
Prisoner Property,NEW PRODUCT,property_container,current_status,"Denormalised mirror of the derived status, excluding the time-based disposal overlay so the column stays stable over time. One of STORED, DUE_FOR_TRANSFER_OUT, DUE_FOR_RETURN, DISPOSAL_REQUIRED, DISPOSED, RETURNED, TRANSFER, COMBINED, CREATED_IN_ERROR, REMOVED. Read the events, not this column, if you need the authoritative status.",STORED,Y,Y,NO CHANGE
Prisoner Property,NEW PRODUCT,property_container,current_internal_location_id,"Denormalised mirror of the container's current storage location - a location UUID in hmpps-locations-inside-prison-api. Null when the container is offsite at Branston, has no recorded location, or has left active storage. This is where the property is kept, not where the prisoner is.",33333333-3333-3333-3333-333333333333,N,Y,NO CHANGE
Prisoner Property,NEW PRODUCT,property_container,current_storage_location_type,"Denormalised mirror of where the container is stored: INTERNAL (a location within the prison) or BRANSTON (the offsite warehouse, which has no internal location id).",INTERNAL,N,Y,NO CHANGE
Prisoner Property,NEW PRODUCT,property_container,receiving_prison_id,"Agency code of the prison this container is due to be transferred in to, denormalised so the establishment list can surface incoming property. Set only while the container is due for transfer out, or transferred but not yet reconciled with the receiving prison's record. Indicates where the owning prisoner has moved to.",MDI,N,Y,NO CHANGE
Prisoner Property,NEW PRODUCT,property_event,id,Primary key. Time-ordered UUID v7.,22222222-2222-2222-2222-222222222222,Y,N,NO CHANGE
Prisoner Property,NEW PRODUCT,property_event,property_container_id,Foreign key to property_container - the container this event happened to.,11111111-1111-1111-1111-111111111111,Y,N,NO CHANGE
Prisoner Property,NEW PRODUCT,property_event,event_type,"What happened. One of CREATED_SEALED, SEAL_CHANGED, CONTAINER_TYPE_CHANGE, MOVED, TRANSFERRED, RETURNED, DISPOSAL_REQUIRED, DISPOSED, COMBINED, CREATED_IN_ERROR, REMOVED, REACTIVATED, or the four driven by prisoner movements - PRISONER_TRANSFERRED_OUT, PRISONER_RECEIVED, PRISONER_RELEASED, DIED_IN_CUSTODY. Each type implies a status.",SEAL_CHANGED,Y,Y,NO CHANGE
Prisoner Property,NEW PRODUCT,property_event,seal_number,"Seal number recorded by this event, on the event types that carry one (creation and reseal). Null on events that do not change the seal.",SEAL12345,N,Y,NO CHANGE
Prisoner Property,NEW PRODUCT,property_event,event_datetime,When the event happened. Events are ordered by this; where two share a timestamp the later-appended one wins.,2026-02-14T11:30:00,Y,Y,NO CHANGE
Prisoner Property,NEW PRODUCT,property_event,from_internal_location_id,Storage location the container moved from - a location UUID in hmpps-locations-inside-prison-api. Null when the event does not move it.,33333333-3333-3333-3333-333333333333,N,Y,NO CHANGE
Prisoner Property,NEW PRODUCT,property_event,to_internal_location_id,"Storage location the container moved to - a location UUID in hmpps-locations-inside-prison-api. Null when the event does not move it, or when it moved offsite to Branston (which has no internal location id).",44444444-4444-4444-4444-444444444444,N,Y,NO CHANGE
Prisoner Property,NEW PRODUCT,property_event,from_prison_id,Agency code the container was held at before this event. Set on events that move it between prisons. Indicates the prisoner's previous establishment.,LEI,N,Y,NO CHANGE
Prisoner Property,NEW PRODUCT,property_event,to_prison_id,"Agency code the container is going to. Set on a transfer out, and on the PRISONER_RECEIVED that flags property as due to follow its owner - so it indicates where the prisoner has moved to.",MDI,N,Y,NO CHANGE
