column_ref,code,description,notes
"property_container.container_type / property_event.container_type","STANDARD","A standard sealed container of the prisoner's property.",""
"property_container.container_type / property_event.container_type","EXCESS","Property the prisoner is not allowed to keep in possession, held in storage.",""
"property_container.container_type / property_event.container_type","VALUABLES","Valuables, held separately from the prisoner's other property.",""
"property_container.container_type / property_event.container_type","CONFISCATED","Property taken from the prisoner and held rather than returned.",""
"property_event.event_type","CREATED_SEALED","The container was created and sealed. Carries the initial seal number.","status=STORED; carriesSeal=true"
"property_event.event_type","SEAL_CHANGED","The container was resealed. Carries the new seal number; the container id does not change.","status=STORED; carriesSeal=true"
"property_event.event_type","CONTAINER_TYPE_CHANGE","The container's type was changed.","status=STORED; carriesSeal=false"
"property_event.event_type","MOVED","The container was moved to another storage location - internal, or offsite to Branston.","status=STORED; carriesSeal=false"
"property_event.event_type","PRISONER_RECEIVED","The owner was received at another establishment, so the property is due to follow them.","status=DUE_FOR_TRANSFER_OUT; carriesSeal=false"
"property_event.event_type","PRISONER_RELEASED","The owner was released, so the property is due to be returned to them.","status=DUE_FOR_RETURN; carriesSeal=false"
"property_event.event_type","DIED_IN_CUSTODY","The owner died in custody, so the property is due to be returned.","status=DUE_FOR_RETURN; carriesSeal=false"
"property_event.event_type","TRANSFERRED","The container was transferred out to another prison. This removes it from the sending prison; the receiving prison holds a separate record, reconciled via related_container_id.","status=TRANSFER; carriesSeal=false"
"property_event.event_type","RETURNED","The container was returned to the prisoner.","status=RETURNED; carriesSeal=false"
"property_event.event_type","DISPOSAL_REQUIRED","Disposal was recorded as required. Note the DISPOSAL_REQUIRED status is derived by comparing proposed_disposal_date with today, not from this event.","status=DISPOSAL_REQUIRED; carriesSeal=false"
"property_event.event_type","DISPOSED","The container was disposed of (destroyed).","status=DISPOSED; carriesSeal=false"
"property_event.event_type","COMBINED","The container was combined into a new sealed container.","status=COMBINED; carriesSeal=false"
"property_event.event_type","CREATED_IN_ERROR","The container was recorded in error.","status=CREATED_IN_ERROR; carriesSeal=false"
"property_event.event_type","REMOVED","Removed from the establishment with no recorded reason - what a NOMIS inactive container maps to, where it cannot be told whether it was returned, disposed or transferred.","status=REMOVED; carriesSeal=false"
"property_event.event_type","REACTIVATED","A removed container was brought back into active storage, reversing a REMOVED.","status=STORED; carriesSeal=false"
"property_container.current_status","STORED","In active storage.",""
"property_container.current_status","DUE_FOR_TRANSFER_OUT","Still held here, but the owner has moved, so it is due to follow them.",""
"property_container.current_status","DUE_FOR_RETURN","Due to be returned, because the owner has been released or died in custody.",""
"property_container.current_status","DISPOSAL_REQUIRED","The proposed disposal date has arrived and the container is still held. Derived from proposed_disposal_date at read time, so it is not stored in current_status.",""
"property_container.current_status","DISPOSED","Disposed of (destroyed), and out of active storage.",""
"property_container.current_status","RETURNED","Returned to the prisoner, and out of active storage.",""
"property_container.current_status","TRANSFER","Transferred out to another prison. Never shown for a live container - the sending prison's record is removed with outcome TRANSFERRED.",""
"property_container.current_status","COMBINED","Combined into another container, and out of active storage.",""
"property_container.current_status","CREATED_IN_ERROR","Recorded in error, and out of active storage.",""
"property_container.current_status","REMOVED","Removed with no recorded reason. Reversible - a REACTIVATED event returns it to STORED.",""
"property_container.removal_outcome","DISPOSED","Left active storage because it was disposed of.","status=DISPOSED; eventType=DISPOSED"
"property_container.removal_outcome","RETURNED","Left active storage because it was returned to the prisoner.","status=RETURNED; eventType=RETURNED"
"property_container.removal_outcome","TRANSFERRED","Left active storage because it was transferred to another prison.","status=TRANSFER; eventType=TRANSFERRED"
"property_container.removal_outcome","COMBINED","Left active storage because it was combined into another container.","status=COMBINED; eventType=COMBINED"
"property_container.removal_outcome","CREATED_IN_ERROR","Left active storage because it was recorded in error.","status=CREATED_IN_ERROR; eventType=CREATED_IN_ERROR"
"property_container.removal_outcome","REMOVED","Left active storage for no recorded reason. The only reversible outcome.","status=REMOVED; eventType=REMOVED"
"property_container.current_storage_location_type / property_event.to_storage_location_type","INTERNAL","A storage location within the prison. The location id is a hmpps-locations-inside-prison-api location UUID.",""
"property_container.current_storage_location_type / property_event.to_storage_location_type","BRANSTON","The offsite Branston warehouse, which has no internal location id.",""
